,Artist,Song,Year
2663,The Four Knights,I Get So Lonely (When I Dream About You),1954
2664,Dean Martin,Sway,1954
2665,Four Lads,Skokiaan,1954
2666,Les Baxter & his Orchestra,The High & The Mighty,1954
2667,Muddy Waters,Hoochie Coochie Man,1954
2668,The Gaylords,The Little Shoemaker,1954
2669,Archie Bleyer,Hernando's Hideaway,1954
2670,Frank Weir & Orchestra,Happy Wanderer,1954
2671,Big Joe Turner,"Shake, Rattle & Roll",1954
2672,Victor Young,The High & The Mighty,1954
2673,The Stargazers,I See the Moon,1954
2674,Ray Charles,I've Got a Woman,1954
2675,Sammy Davis Jr,Hey There,1954
2676,De Castro Sisters,Teach Me Tonight,1954
2677,Vera Lynn,"My Son, My Son",1954
2678,Johnnie Ray,Such a Night,1954
2679,Frankie Laine,Granada,1954
2680,Leroy Holmes,The High & The Mighty,1954
2681,Vaughn Monroe,They were doin' the mambo,1954
2682,Patti Page,Cross Over the Bridge,1954
2683,Petula Clark,The Little Shoemaker,1954
2684,Bill Haley & his Comets,Rock Around the Clock,1955
2685,Tennessee Ernie Ford,Sixteen Tons,1955
2686,Perez Prado,Cherry Pink & Apple Blossom White,1955
2687,The Platters,Only You (And You Alone),1955
2688,Four Aces,Love is a Many Splendoured Thing,1955
2689,Al Hibbler,Unchained Melody,1955
2690,Frank Sinatra,Learnin' the Blues,1955
2691,Little Richard,Tutti Frutti,1955
2692,Mitch Miller,Yellow Rose of Texas,1955
2693,Four Aces,Mister Sandman,1955
2694,Frank Sinatra,Love & Marriage,1955
2695,Les Baxter & his Orchestra,Unchained Melody,1955
2696,Chuck Berry,Maybellene,1955
2697,Four Aces,Stranger in Paradise,1955
2698,Julie London,Cry Me a River,1955
2699,Billy Vaughn,Melody of Love,1955
2700,Fats Domino,Ain't That a Shame,1955
2701,Bill Hayes,Ballad of Davy Crockett,1955
2702,Slim Whitman,Rose Marie,1955
2703,Joan Weber,Let Me Go Lover,1955
2704,Tennessee Ernie Ford,Ballad of Davy Crockett,1955
2705,Nat King Cole,A Blossom Fell,1955
2706,Teresa Brewer,Let Me Go Lover,1955
2707,Roger Williams,Autumn Leaves (Les Feuilles Mortes),1955
2708,Fess Parker,Ballad of Davy Crockett,1955
2709,Four Aces,Melody of Love,1955
2710,Pat Boone,Ain't That a Shame,1955
2711,Ruby Murray,Softly Softly,1955
2712,McGuire Sisters,Sincerely,1955
2713,Muddy Waters,Mannish Boy,1955
2714,The Fontane Sisters,Heart of Stone,1955
2715,Georgia Gibbs,Tweedle Dee,1955
2716,Perry Como,Tina Marie,1955
2717,Frankie Laine,Cool Water,1955
2718,Bo Diddley,Bo Diddley,1955
2719,Johnny Desmond,Yellow Rose of Texas,1955
2720,Al Hibbler,He,1955
2721,Johnny Cash,Folsom Prison Blues,1955
2722,Eddie Calvert,Cherry Pink & Apple Blossom White,1955
2723,Nat King Cole,Darling Je Vous Aime Beaucoup,1955
2724,Lonnie Donegan,Rock Island Line,1955
2725,The Crew-Cuts,Earth Angel,1955
2726,Bill Haley & his Comets,Mambo Rock,1955
2727,Gale Storm,I Hear You Knockin',1955
2728,Tennessee Ernie Ford,Give Me Your Word,1955
2729,Jimmy Young,Unchained Melody,1955
2730,Alma Cogan,Dreamboat,1955
2731,Jimmy Young,The Man From Laramie,1955
2732,Boyd Bennett & his Rockets,Seventeen,1955
2733,Doris Day,Que sera sera (Whatever will be will be),1956
2734,Elvis Presley,Heartbreak Hotel,1956
2735,Elvis Presley,Hound Dog,1956
2736,Fats Domino,Blueberry Hill,1956
2737,Elvis Presley,Don't Be Cruel,1956
2738,Dean Martin,Memories Are Made of This,1956
2739,The Platters,The Great Pretender,1956
2740,Guy Mitchell,Singing The Blues,1956
2741,Elvis Presley,Love Me Tender,1956
2742,Little Richard,Long Tall Sally,1956
2743,Carl Perkins,Blue Suede Shoes,1956
2744,The Platters,My Prayer,1956
2745,Johnnie Ray,Just Walkin' in the Rain,1956
2746,Frankie Lymon & The Teenagers,Why Do Fools Fall in Love?,1956
2747,Kay Starr,Rock 'n' Roll Waltz,1956
2748,Gene Vincent,Be Bop a Lula,1956
2749,Perry Como,Hot Diggity (Dog Ziggity Boom),1956
2750,Louis Armstrong,Mack the Knife,1956
2751,Bing Crosby & Grace Kelly,True Love,1956
2752,Vic Damone,On the Street Where You Live,1956
2753,Jim Lowe,Green Door,1956
2754,Gogi Grant,Wayward Wind,1956
2755,Bill Doggett,Honky Tonk,1956
2756,Johnny Cash,I Walk the Line,1956
2757,Bill Haley & his Comets,See You Later Alligator,1956
2758,Pat Boone,I'll Be Home,1956
2759,Dreamweavers,It's Almost Tomorrow,1956
2760,Chuck Berry,Roll Over Beethoven,1956
2761,Frankie Laine,A Woman in Love,1956
2762,Nelson Riddle,Lisbon Antigua (In Old Lisbon),1956
2763,Les Baxter & his Orchestra,Poor People of Paris,1956
2764,Morris Stoloff,Moonglow & Theme From Picnic,1956
2765,Eddie Fisher,"Cindy, Oh Cindy",1956
2766,Anne Shelton,Lay Down Your Arms,1956
2767,Sonny James,Young Love,1956
2768,Pat Boone,I Almost Lost My Mind,1956
2769,Elvis Presley,"I Want You, I Need You, I Love You",1956
2770,Pat Boone,Friendly Persuasion,1956
2771,Ronnie Hilton,No Other Love,1956
2772,Howlin' Wolf,Smokestack Lightning,1956
2773,Little Richard,Rip it Up,1956
2774,The Five Satins,In the Still of the Night,1956
2775,Tony Martin,Walk Hand in Hand,1956
2776,Teresa Brewer,A Tear Fell,1956
2777,Freddy Quinn,Heimweh,1956
2778,Fats Domino,I'm in Love Again,1956
2779,Joe 'Fingers' Carr,Portuguese Washerwoman,1956
2780,Fats Domino,Blue Monday,1956
2781,Four Lads,Standing On the Corner,1956
2782,Elvis Presley,Jailhouse Rock,1957
2783,Elvis Presley,All Shook Up,1957
2784,Buddy Holly,That'll Be the Day,1957
2785,Paul Anka,Diana,1957
2786,Jerry Lee Lewis,Great Balls of Fire,1957
2787,Pat Boone,Love Letters in the Sand,1957
2788,Harry Belafonte,Banana Boat Song,1957
2789,The Diamonds,Little Darlin',1957
2790,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957
2791,Debbie Reynolds,Tammy,1957
2792,Elvis Presley,(Let Me Be Your) Teddy Bear,1957
2793,The Everly Brothers,Wake Up Little Susie,1957
2794,The Everly Brothers,Bye Bye Love,1957
2795,Danny & The Juniors,At the Hop,1957
2796,Sam Cooke,You Send Me,1957
2797,Tab Hunter,Young Love,1957
2798,Buddy Holly,Peggy Sue,1957
2799,Pat Boone,April Love,1957
2800,Fats Domino,I'm Walkin',1957
2801,Frank Sinatra,All the Way,1957
2802,Johnny Mathis,It's Not For Me to Say,1957
2803,Johnny Mathis,Chances Are,1957
2804,Pat Boone,Don't Forbid Me,1957
2805,Andy Williams,Butterfly,1957
2806,The Coasters,Searchin',1957
2807,Harry Belafonte,Mary's Boy Child,1957
2808,Bobby Helms,My Special Angel,1957
2809,Harry Belafonte,Island in the Sun,1957
2810,Bill Justis,Raunchy,1957
2811,Chuck Berry,School Day (Ring! Ring! Goes The Bell),1957
2812,Jimmie Rodgers,Honeycomb,1957
2813,The Del Vikings,Come Go With Me,1957
2814,Johnnie Ray,Yes Tonight Josephine,1957
2815,Tommy Steele,Singing The Blues,1957
2816,Johnny Mathis,Wonderful Wonderful,1957
2817,Jimmy Dorsey,So Rare,1957
2818,Charlie Gracie,Butterfly,1957
2819,Chuck Berry,Rock 'n' Roll Music,1957
2820,The Rays,Silhouettes,1957
2821,Buddy Knox,Party Doll,1957
2822,Perry Como,Round & Round,1957
2823,Little Richard,Lucille,1957
2824,The Bobbettes,Mr Lee,1957
2825,The Diamonds,The Stroll,1957
2826,Mickey & Sylvia,Love is Strange,1957
2827,Little Richard,The Girl Can't Help It,1957
2828,Little Richard,Keep a Knockin',1957
2829,The Coasters,Young Blood,1957
2830,Elvis Presley,Too Much,1957
2831,The Kingston Trio,Tom Dooley,1958
2832,Domenico Modugno,Volare,1958
2833,The Kalin Twins,When,1958
2834,Champs,Tequila,1958
2835,The Everly Brothers,All I Have to Do is Dream,1958
2836,Conway Twitty,It's Only Make Believe,1958
2837,The Everly Brothers,Bird Dog,1958
2838,Tommy Edwards,It's All in the Game,1958
2839,Perez Prado,Patricia,1958
2840,Chuck Berry,Johnny B Goode,1958
2841,Connie Francis,Who's Sorry Now?,1958
2842,The Platters,Twilight Time,1958
2843,Billy Vaughn,Sail Along Silvery Moon,1958
2844,Elvis Presley,One Night,1958
2845,Perry Como,Catch a Falling Star,1958
2846,Eddie Cochran,Summertime Blues,1958
2847,Ritchie Valens,La Bamba,1958
2848,Peggy Lee,Fever,1958
2849,The Coasters,Yakety Yak,1958
2850,Elvis Presley,I Got Stung,1958
2851,Elvis Presley,Don't,1958
2852,David Seville & The Chipmunks,Witch Doctor,1958
2853,Dean Martin,Return to Me,1958
2854,Chuck Berry,Sweet Little Sixteen,1958
2855,The Teddy Bears,To Know Him is to Love Him,1958
2856,Dean Martin,Volare,1958
2857,Elvis Presley,Hard Headed Woman,1958
2858,Mitch Miller,March From The River Kwai,1958
2859,Elegants,Little Star,1958
2860,Perry Como,Magic Moments,1958
2861,Ricky Nelson,Poor Little Fool,1958
2862,Big Bopper,Chantilly Lace,1958
2863,Paul Anka,You Are My Destiny,1958
2864,The Silhouettes,Get a Job,1958
2865,The Chordettes,Lollipop,1958
2866,Louis Prima,Buona Sera,1958
2867,Link Wray,Rumble,1958
2868,The Imperials,Tears On My Pillow,1958
2869,Elvis Presley,King Creole,1958
2870,Johnny Mathis,A Certain Smile,1958
2871,Jackie Wilson,Lonely Teardrops,1958
2872,Laurie London,He's Got the Whole World in His Hands,1958
2873,Bobby Day,Rockin' Robin,1958
2874,Connie Francis,Stupid Cupid,1958
2875,Marino Marini & his Quartet,More Than Ever (Come Prima),1958
2876,Eddie Cochran,C'Mon Everybody,1958
2877,Elvis Presley,Wear My Ring Around Your Neck,1958
2878,Sheb Wooley,Purple People Eater,1958
2879,Ricky Nelson,Stood Up,1958
2880,Bobby Darin,Mack the Knife,1959
2881,The Platters,Smoke Gets in Your Eyes,1959
2882,Johnny Horton,Battle of New Orleans,1959
2883,Elvis Presley,(Now & then There's) A Fool Such As I,1959
2884,Frankie Avalon,Venus,1959
2885,Paul Anka,Lonely Boy,1959
2886,Lloyd Price,(You've Got) Personality,1959
2887,Bobby Darin,Dream Lover,1959
2888,Cliff Richard,Living Doll,1959
2889,The Browns,The Three Bells (Les Trois Cloches),1959
2890,Neil Sedaka,Oh Carol,1959
2891,Chris Barber's Jazz Band,Petite Fleur (Little Flower),1959
2892,Ray Charles,What'd I Say,1959
2893,Wilbert Harrison,Kansas City,1959
2894,Craig Douglas,Only Sixteen,1959
2895,Lloyd Price,Stagger Lee,1959
2896,Ritchie Valens,Donna,1959
2897,Paul Anka,Put Your Head On My Shoulder,1959
2898,Johnny & The Hurricanes,Red River Rock,1959
2899,Elvis Presley,A Big Hunk O' Love,1959
2900,Elvis Presley,I Need Your Love Tonight,1959
2901,The Flamingos,I Only Have Eyes For You,1959
2902,Emile Ford & The Checkmates,What Do You Want to Make Those Eyes At Me For?,1959
2903,The Drifters,There goes my baby,1959
2904,The Fleetwoods,Mr Blue,1959
2905,Guy Mitchell,Heartaches By the Number,1959
2906,The Coasters,Charlie Brown,1959
2907,Marty Robbins,El Paso,1959
2908,Santo & Johnny,Sleep Walk,1959
2909,Connie Francis,My Happiness,1959
2910,The Everly Brothers,('til) I Kissed You,1959
2911,Dion & The Belmonts,A Teenager in Love,1959
2912,Buddy Holly,It Doesn't Matter Anymore,1959
2913,The Fleetwoods,Come Softly to Me,1959
2914,Cliff Richard,Travellin' Light,1959
2915,Ivo Robic,Morgen,1959
2916,Sam Cooke,Only Sixteen,1959
2917,Phil Phillips,Sea of Love,1959
2918,Domenico Modugno,Piove (Ciao ciao bambina),1959
2919,Conway Twitty,Mona Lisa,1959
2920,Connie Francis,Lipstick On Your Collar,1959
2921,Russ Conway,Roulette,1959
2922,Brook Benton,It's Just a Matter of Time,1959
2923,Skyliners,Since I Don't Have You,1959
2924,Johnnie Ray,I'll Never Fall in Love Again,1959
2925,Frankie Ford,Sea Cruise,1959
2926,Impalas,Sorry (I Ran All the Way Home),1959
2927,Stonewall Jackson,Waterloo,1959
2928,The Crests,16 Candles,1959
2929,Elvis Presley,Are You Lonesome Tonight?,1960
2930,Elvis Presley,It's Now Or Never,1960
2931,Chubby Checker,The Twist,1960
2932,Percy Faith,Theme From 'A Summer Place',1960
2933,Rocco Granata,Marina,1960
2934,The Everly Brothers,Cathy's Clown,1960
2935,The Drifters,Save the Last Dance For Me,1960
2936,Sam Cooke,Wonderful World,1960
2937,Roy Orbison,Only The Lonely (Know The Way I Feel),1960
2938,Brenda Lee,I'm Sorry,1960
2939,Elvis Presley,Stuck On You,1960
2940,Connie Francis,Everybody's Somebody's Fool,1960
2941,Jim Reeves,He'll Have to Go,1960
2942,Johnny Preston,Running Bear,1960
2943,Brian Hyland,Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini,1960
2944,The Shadows,Apache,1960
2945,The Shirelles,Will You Love Me Tomorrow,1960
2946,Ray Charles,Georgia On My Mind,1960
2947,Johnny Tillotson,Poetry in Motion,1960
2948,The Ventures,Walk Don't Run,1960
2949,Edith Piaf,Milord,1960
2950,Jimmy Jones,Good Timin',1960
2951,Paul Anka,Puppy Love,1960
2952,Blue Diamonds,Ramona,1960
2953,Lolita,"Seemann, deine Heimat ist das Meer",1960
2954,Cliff Richard,Please Don't Tease,1960
2955,Maurice Williams & The Zodiacs,Stay,1960
2956,Smokey Robinson & The Miracles,Shop Around,1960
2957,Brothers Four,Greenfields,1960
2958,Elvis Presley,A Mess of Blues,1960
2959,Duane Eddy,Because They're Young,1960
2960,Frankie Avalon,Why?,1960
2961,Jan & Kjeld,Banjo Boy,1960
2962,Fats Domino,Walking to New Orleans,1960
2963,Hollywood Argyles,Alley-oop,1960
2964,Mark Dinning,Teen Angel,1960
2965,Bobby Rydell,The Wild One,1960
2966,Paul Anka,My Home Town,1960
2967,Johnny Burnette,"You're Sixteen, You're Beautiful (And You're Mine)",1960
2968,Sam Cooke,Chain Gang,1960
2969,Floyd Cramer,Last Date,1960
2970,Bob Azzam,Mustapha,1960
2971,Bobby Rydell,Swingin' School,1960
2972,Johnny Horton,North to Alaska,1960
2973,Lonnie Donegan,My Old Man's a Dustman (Ballad of a Refuse Disposal Officer),1960
2974,Hank Locklin,"Please Help Me, I'm Falling",1960
2975,Don Costa,Never On Sunday,1960
2976,Brenda Lee,I Want To Be Wanted (Per Tutta La Vita),1960
2977,Dion & The Belmonts,Where Or When,1960
2978,Ben E King,Stand By Me,1961
2979,Chubby Checker,Let's Twist Again,1961
2980,Elvis Presley,Surrender,1961
2981,Del Shannon,Runaway,1961
2982,The Marcels,Blue Moon,1961
2983,Ricky Nelson,Hello Mary Lou,1961
2984,Elvis Presley,Wooden Heart,1961
2985,Highwaymen,Michael Row the Boat,1961
2986,Roy Orbison,Crying,1961
2987,Ray Charles,"Hit the Road, Jack",1961
2988,Dion,Runaround Sue,1961
2989,Bert Kaempfert & his Orchestra,Wonderland By Night,1961
2990,Henry Mancini,Moon River,1961
2991,Jimmy Dean,Big Bad John,1961
2992,Elvis Presley,Little Sister,1961
2993,Elvis Presley,(Marie's the Name) His Latest Flame,1961
2994,Buzz Clifford,Baby Sittin' Boogie,1961
2995,Bob Moore,Mexico,1961
2996,Ricky Nelson,Travellin' Man,1961
2997,The Tokens,The Lion Sleeps Tonight,1961
2998,Bobby Lewis,Tossing & Turning,1961
2999,Patsy Cline,Crazy,1961
3000,Etta James,At Last,1961
3001,The Everly Brothers,Walk Right Back,1961
3002,Helen Shapiro,Walkin' Back to Happiness,1961
3003,String-A-Longs,Wheels,1961
3004,Bobby Vee,Take Good Care of My Baby,1961
3005,Dave Brubeck,Take Five,1961
3006,The Marvelettes,Please Mr Postman,1961
3007,Roy Orbison,Running Scared,1961
3008,Lawrence Welk,Calcutta,1961
3009,Chubby Checker,Pony Time,1961
3010,Gary US Bonds,Quarter to Three,1961
3011,Connie Francis,Where the Boys Are,1961
3012,Patsy Cline,I Fall to Pieces,1961
3013,Helen Shapiro,You Don't Know,1961
3014,Clarence 'Frogman' Henry,I Don't Know Why (But I Do),1961
3015,Eddie Hodges,I'm Gonna Knock On Your Door,1961
3016,Billy Vaughn,"Wheels (Vier Schimmel, ein Wagen)",1961
3017,Dee Clark,Raindrops,1961
3018,Ferrante & Teicher,Theme From 'Exodus',1961
3019,Ben E King,Spanish Harlem,1961
3020,Pat Boone,Moody River,1961
3021,The Allisons,Are You Sure?,1961
3022,Ernie K-Doe,Mother-In-Law,1961
3023,Pat Boone,Johnny Will,1961
3024,Shep & the Limelites,Daddy's Home,1961
3025,Neil Sedaka,Calendar Girl,1961
3026,Del Shannon,Hats Off to Larry,1961
3027,Ray Charles,I Can't Stop Loving You,1962
3028,Pat Boone,Speedy Gonzales,1962
3029,The Tornados,Telstar,1962
3030,Elvis Presley,Return to Sender,1962
3031,Elvis Presley,Can't Help Falling in Love,1962
3032,Elvis Presley,Good Luck Charm,1962
3033,Little Eva,The Loco-Motion,1962
3034,Chris Montez,Let's Dance,1962
3035,Mr Acker Bilk,Stranger On the Shore,1962
3036,Bobby Vinton,Roses Are Red,1962
3037,The Four Seasons,Big Girls Don't Cry,1962
3038,Booker T & the MGs,Green Onions,1962
3039,Dion,The Wanderer,1962
3040,Elvis Presley,She's Not You,1962
3041,Contours,Do You Love Me?,1962
3042,The Four Seasons,Sherry,1962
3043,Neil Sedaka,Breaking Up is Hard to Do,1962
3044,Joey Dee & The Starliters,Peppermint Twist,1962
3045,Tommy Roe,Sheila,1962
3046,Gene Chandler,Duke of Earl,1962
3047,Bobby 'Boris' Pickett & The Crypt-Kickers,The Monster Mash,1962
3048,Nat King Cole,Ramblin' Rose,1962
3049,Kenny Ball & his Jazzmen,Midnight in Moscow,1962
3050,Chubby Checker,Limbo Rock,1962
3051,Stan Getz & Charlie Byrd,Desafinado (Slightly Out Of Tune),1962
3052,Bruce Channel,Hey Baby,1962
3053,The Crystals,He's a Rebel,1962
3054,Shelley Fabares,Johnny Angel,1962
3055,The Shirelles,Soldier Boy,1962
3056,Cliff Richard,The Young Ones,1962
3057,The Isley Brothers,Twist & Shout,1962
3058,Conny Froboess,Zwei kleine Italiener,1962
3059,Elvis Presley,Rock a Hula Baby,1962
3060,Roy Orbison,Dream Baby (How Long Must I Dream),1962
3061,Tony Bennett,(I Left My Heart in) San Francisco,1962
3062,Brian Hyland,Sealed With a Kiss,1962
3063,Frank Ifield,I Remember You,1962
3064,Brenda Lee,All Alone am I,1962
3065,Gene Pitney,Town Without Pity,1962
3066,Frank Ifield,Lovesick Blues,1962
3067,Dee Dee Sharp,Mashed Potato Time,1962
3068,Neil Sedaka,Happy Birthday Sweet Sixteen,1962
3069,Emilio Pericoli,Al Di La,1962
3070,Bobby Darin,Multiplication,1962
3071,David Rose,The Stripper,1962
3072,Sue Thompson,Norman,1962
3073,Francoise Hardy,Tous les garcons & les filles,1962
3074,The Everly Brothers,Crying in the Rain,1962
3075,Freddy Quinn,Junge komm bald wieder,1962
3076,Trini Lopez,If I Had a Hammer,1963
3077,Elvis Presley,(You're The) Devil in Disguise,1963
3078,Paul & Paula,Hey Paula,1963
3079,The Ronettes,Be My Baby,1963
3080,Kingsmen,Louie Louie,1963
3081,The Fireballs,Sugar Shack,1963
3082,Kyu Sakamoto,Sukiyaki,1963
3083,Little Peggy March,I Will Follow Him,1963
3084,Singing Nun (Soeur Sourire),Dominique,1963
3085,Ned Miller,From a Jack to a King,1963
3086,Cliff Richard,Summer Holiday,1963
3087,Lesley Gore,It's My Party,1963
3088,Jan & Dean,Surf City,1963
3089,Los Indios Tabajaras,Maria Elena,1963
3090,Bobby Vinton,Blue Velvet,1963
3091,The Surfaris,Wipe Out,1963
3092,Cliff Richard,Lucky Lips,1963
3093,The Chiffons,He's So Fine,1963
3094,Elvis Presley,Kiss Me Quick,1963
3095,The Crystals,Then He Kissed Me,1963
3096,Skeeter Davis,The End of the World,1963
3097,Cascades,Rhythm of the Rain,1963
3098,Johnny Cash,Ring of Fire,1963
3099,The Four Seasons,Walk Like a Man,1963
3100,The Crystals,Da Doo Ron Ron (When He Walked Me Home),1963
3101,Ruby & The Romantics,Our Day Will Come,1963
3102,The Beatles,From Me to You,1963
3103,Roy Orbison,In Dreams,1963
3104,The Rooftop Singers,Walk Right In,1963
3105,Roy Orbison,Blue Bayou,1963
3106,Elvis Presley,Bossa Nova Baby,1963
3107,The Tymes,So Much in Love,1963
3108,The Angels,My Boyfriend's Back,1963
3109,Cliff Richard,The Next Time,1963
3110,The Beach Boys,Surfin' USA,1963
3111,Dale & Grace,I'm Leaving it (All) Up to You,1963
3112,Cliff Richard,Bachelor Boy,1963
3113,Nino Tempo & April Stevens,Deep Purple,1963
3114,Henry Mancini,Days Of Wine & Roses,1963
3115,The Drifters,Up On the Roof,1963
3116,Jimmy Soul,If You Wanna Be Happy,1963
3117,Gerry & the Pacemakers,You'll Never Walk Alone,1963
3118,Bob Dylan,Blowin' in the Wind,1963
3119,Eydie Gorme,Blame it On the Bossa Nova,1963
3120,Gerry & the Pacemakers,I Like It,1963
3121,Gerry & the Pacemakers,How Do You Do It?,1963
3122,Chantays,Pipeline,1963
3123,Martha & The Vandellas,Heat Wave,1963
3124,Petula Clark,Chariot (I will follow him),1963
3125,The Beatles,I Want to Hold Your Hand,1964
3126,Roy Orbison,"Oh, Pretty Woman",1964
3127,The Beatles,She Loves You,1964
3128,The Animals,House of the Rising Sun,1964
3129,The Beatles,I Feel Fine,1964
3130,The Beatles,A Hard Day's Night,1964
3131,The Righteous Brothers,You've Lost That Lovin' Feelin',1964
3132,The Beatles,Can't Buy Me Love,1964
3133,The Supremes,Where Did Our Love Go,1964
3134,Louis Armstrong,Hello Dolly,1964
3135,Manfred Mann,Do Wah Diddy Diddy,1964
3136,The Supremes,Baby Love,1964
3137,Mary Wells,My Guy,1964
3138,The Beatles,Twist & Shout,1964
3139,Dean Martin,Everybody Loves Somebody,1964
3140,Millie Small,My Boy Lollipop,1964
3141,The Shangri-Las,Leader of the Pack,1964
3142,The Beatles,Please Please Me,1964
3143,Martha & The Vandellas,Dancing in the Street,1964
3144,Johnny Rivers,"Memphis, Tennessee",1964
3145,The Four Seasons,Rag Doll,1964
3146,Stan Getz & Joao Gilberto,The Girl From Ipanema,1964
3147,The Beach Boys,I Get Around,1964
3148,The Beatles,I Saw Her Standing There,1964
3149,The Beatles,Love Me Do,1964
3150,Gigliola Cinquetti,Non Ho L'Eta Per Amarti,1964
3151,Dave Clark Five,Glad All Over,1964
3152,Roy Orbison,It's Over,1964
3153,Peter & Gordon,A World Without Love,1964
3154,The Kinks,You Really Got Me,1964
3155,The Honeycombs,Have I the Right,1964
3156,The Supremes,Come See About Me,1964
3157,Dionne Warwick,Walk On By,1964
3158,Barbra Streisand,People,1964
3159,Dixie Cups,Chapel of Love,1964
3160,The Newbeats,Bread & Butter,1964
3161,The Searchers,Needles & Pins,1964
3162,Dave Clark Five,Bits & Pieces,1964
3163,The Beatles,All My Loving,1964
3164,The Drifters,Under the Boardwalk,1964
3165,Lesley Gore,You Don't Own Me,1964
3166,The Rolling Stones,Time is On My Side,1964
3167,The Zombies,She's Not There,1964
3168,Julie Rogers,The Wedding,1964
3169,Terry Stafford,Suspicion,1964
3170,Herman's Hermits,I'm Into Something Good,1964
3171,The Kinks,All Day & All of the Night,1964
3172,The Beatles,I Should Have Known Better,1964
3173,Elvis Presley,Ain't That Lovin' You Baby,1964
3174,The Rolling Stones,(I Can't Get No) Satisfaction,1965
3175,The Righteous Brothers,Unchained Melody,1965
3176,The Beatles,Help!,1965
3177,The Beatles,Yesterday,1965
3178,Petula Clark,Downtown,1965
3179,Sam The Sham & The Pharaohs,Wooly Bully,1965
3180,The Byrds,Mr Tambourine Man,1965
3181,The Beatles,Ticket to Ride,1965
3182,The Temptations,My Girl,1965
3183,Bob Dylan,Like a Rolling Stone,1965
3184,The Beatles,Day Tripper,1965
3185,Sonny & Cher,I Got You Babe,1965
3186,The Rolling Stones,Get Off of My Cloud,1965
3187,Nini Rosso,Il Silenzio,1965
3188,Elvis Presley,Crying in the Chapel,1965
3189,The Rolling Stones,The Last Time,1965
3190,The Beatles,Eight Days a Week,1965
3191,The Byrds,Turn! Turn! Turn! (To Everything There is a Season),1965
3192,Barry McGuire,Eve of Destruction,1965
3193,The Supremes,Stop! in the Name of Love,1965
3194,Roger Miller,King of the Road,1965
3195,The McCoys,Hang On Sloopy,1965
3196,Herman's Hermits,Mrs Brown You've Got a Lovely Daughter,1965
3197,The Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1965
3198,The Beach Boys,"Help Me, Rhonda",1965
3199,Shirley Bassey,Goldfinger,1965
3200,The Beatles,Rock 'n' Roll Music,1965
3201,The Who,My Generation,1965
3202,The Seekers,The Carnival is Over,1965
3203,The Yardbirds,For Your Love,1965
3204,Jay & the Americans,Cara Mia,1965
3205,Christophe,Aline,1965
3206,The Beach Boys,California Girls,1965
3207,Gary Lewis & The Playboys,This Diamond Ring,1965
3208,Tom Jones,It's Not Unusual,1965
3209,The Seekers,I'll Never Find Another You,1965
3210,James Brown,I Got You (I Feel Good),1965
3211,Dave Clark Five,Over & Over,1965
3212,Jewel Akens,The Birds & the Bees,1965
3213,Freddie & The Dreamers,I'm Telling You Now,1965
3214,The Miracles,The Tracks of My Tears,1965
3215,The Toys,A Lover's Concerto,1965
3216,Herman's Hermits,I'm Henry the Eighth I Am,1965
3217,The Animals,We Gotta Get Out of This Place,1965
3218,James Brown,Papa's Got a Brand New Bag,1965
3219,The Fortunes,You've Got Your Troubles,1965
3220,Wayne Fontana & The Mindbenders,The Game of Love,1965
3221,Tom Jones,What's New Pussycat?,1965
3222,Mikis Theodorakis,Zorba The Greek,1965
3223,Frank Sinatra,Strangers in the Night,1966
3224,Nancy Sinatra,These Boots Are Made For Walking,1966
3225,The Beach Boys,Good Vibrations,1966
3226,The Beatles,Paperback Writer,1966
3227,The Beatles,Yellow Submarine,1966
3228,The Rolling Stones,Paint it Black,1966
3229,Simon & Garfunkel,The Sounds of Silence,1966
3230,The Mamas & The Papas,Monday Monday,1966
3231,New Vaudeville Band,Winchester Cathedral,1966
3232,The Four Tops,Reach Out (I'll Be There),1966
3233,Percy Sledge,When a Man Loves a Woman,1966
3234,The Beatles,We Can Work it Out,1966
3235,The Beatles,Eleanor Rigby,1966
3236,The Beatles,Michelle,1966
3237,The Mamas & The Papas,California Dreamin',1966
3238,The Troggs,Wild Thing,1966
3239,Herman's Hermits,No Milk Today,1966
3240,The Rolling Stones,19th Nervous Breakdown,1966
3241,The Beach Boys,I Wanna Go Home (The Wreck of the 'John B'),1966
3242,Lovin' Spoonful,Summer in the City,1966
3243,Los Bravos,Black is Black,1966
3244,The Kinks,Sunny Afternoon,1966
3245,The Monkees,Last Train to Clarksville,1966
3246,Staff Sergeant Barry Sadler,Ballad of the Green Berets,1966
3247,The Troggs,With a Girl Like You,1966
3248,Donovan,Mellow Yellow,1966
3249,Tommy James & the Shondells,Hanky Panky,1966
3250,The Hollies,Bus Stop,1966
3251,The Beach Boys,Barbara Ann,1966
3252,Chris Andrews,Yesterday Man,1966
3253,Cher,Bang Bang (My Baby Shot Me Down),1966
3254,Donovan,Sunshine Superman,1966
3255,The Hollies,Stop Stop Stop,1966
3256,Sonny & Cher,Little Man,1966
3257,The Supremes,You Can't Hurry Love,1966
3258,Crispian St Peters,Pied Piper,1966
3259,Peter & Gordon,Lady Godiva,1966
3260,The Supremes,(You Keep Me) Hangin' On,1966
