,Artist,Song,Year
329,Vess Ossman,The Buffalo Rag,1906
330,Arthur Collins & Byron G Harlan,Out in an Automobile,1906
331,Billy Murray,Not Because Your hair is Curly,1906
332,Enrico Caruso,Vesti La Giubba (On With The Play) (1907),1907
333,Frank Stanley,Auld Lang Syne,1907
334,Harry MacDonough & Elise Stevenson,Because You're You,1907
335,Bert Williams,He's a Cousin of Mine,1907
336,Byron G Harlan,My Gal Sal,1907
337,Harry MacDonough,My Dear,1907
338,Harry Lauder,I Love a Lassie (My Scotch Bluebell),1907
339,Billy Murray,Harrigan,1907
340,Byron G Harlan,Nobody's Little girl,1907
341,Ada Jones & Billy Murray,Let's Take an Old-Fashioned Walk,1907
342,Ada Jones,I Just Can't Make My Eyes Behave,1907
343,Byron G Harlan,School Days (When We Were a Couple of Kids),1907
344,Eduardo das Neves,Minas Gerais,1907
345,Florrie Ford,I Do Like to Be Beside The Seaside,1907
346,May Irwin,The Bully,1907
347,Alice Nielsen & Florencio Constantino,Rigoletto - E Il Sol Dell Prima (Love is the Sun),1907
348,Enrico Caruso & Nellie Melba,La Boheme - O Soave Fanciulla (Thou Sweetest Maiden),1907
349,Geraldine Farrar & Louise Homer,Madama Butterfly: Tutti I Fior (Duet of the Flowers),1907
350,Cal Stewart,Wedding of Uncle Josh & Aunt Nancy,1907
351,Ada Jones & Billy Murray,Whistle It,1907
352,Peerless Quartet,Honey Boy,1907
353,Ada Jones,My Irish Rosie,1907
354,Harry Tally,Take Me Back to New York Town,1907
355,Billy Murray,Take Me Around Again,1907
356,Haydn Quartet,My Wild Irish Rose,1907
357,Haydn Quartet,In the Wildwood Where the Blue Bells Grew,1907
358,Billy Murray,He Goes to Church on Sunday,1907
359,US Marine Band,Maple Leaf Rag,1907
360,Frank Stanley & Henry Burr,Red Wing (An Indian Fable),1907
361,Billy Murray,No Wedding Bells for Me,1907
362,Victor Orchestra,Merry Widow Waltz,1907
363,Billy Murray,San Francisco Bay,1907
364,Derek Oldman,I Know a Lovely Garden,1907
365,Billy Murray,Streets of New York,1907
366,Frank Stanley & Elise Stevenson,The Linger Longer Girl,1907
367,Corrine Morgan,Oh Promise Me,1907
368,Arthur Collins,"If I'm Goin' to Die, I'm Goin' To Have Some Fun",1907
369,Vess Ossman,Maple Leaf Rag,1907
370,Harry MacDonough,"In the Evening by the Moonlight, Dear Louise",1907
371,Byron G Harlan,Two Blue Eyes (Two Little Baby Shoes),1907
372,Billy Murray,San Antonio (Cowboy Song),1907
373,Enrico Caruso,Ideale (My Ideal!),1907
374,Ada Jones & Billy Murray,The Game of Peek-a-Boo (I'd Like to See a Little More of You),1907
375,Helen Trix,The Bird on Nellie's Hat,1907
376,Harry MacDonough,The Tale The Church Bell Tolled,1907
377,Bert Williams,I've Such a Funny Feeling When I Look at You,1907
378,Ada Jones,If the Man in the Moon Were a Coon,1907
379,Ada Jones & Billy Murray,It's Nice to Have a Sweetheart,1907
380,Ada Jones & Billy Murray,Won't You be My Honey?,1907
381,Billy Murray & Haydn Quartet,Take Me Out To The Ball Game,1908
382,Ada Jones & Billy Murray,Shine on Harvest Moon,1908
383,Victor Orchestra,The Glow-Worm,1908
384,Lucy Isabelle Marsh,The Glow-Worm,1908
385,Elise Stevenson,Are You Sincere?,1908
