,Numbers,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
48,48,Ed Sheeran,I See Fire,"Oh misty eye of the mountain below
Keep careful watch of my brothers' souls
And should the sky be filled with fire and smoke
Keep watching over Durin's sons

If this is to end in fire then we shall all burn together
Watch the flames climb high into the night
Calling out father oh, stand by and we will
Watch the flames burn auburn on the mountainside

And if we should die tonight, we should all die together
Raise a glass of wine for the last time
Calling out father oh, prepare as we will
Watch the flames burn auburn on the mountainside
Desolation comes upon the sky

Now I see fire
Inside the mountain, I see fire
Burning the trees
And I see fire
Hollowing soul
I see fire
Blood in the breeze
And I hope that you remember me

Oh should my people fall then surely I'll do the same
Confined in mountain halls, we got too close to the flame
Calling out father oh, hold fast and we will
Watch the flames burn auburn on the mountainside
Desolation comes upon the sky

Now I see fire
Inside the mountain
I see fire
Burning the trees
And I see fire
Hollowing soul
I see fire
Blood in the breeze
And I hope that you remember me

And if the night is burning I will cover my eyes
For if the dark returns then my brothers will die
And as this sky is falling down, it crashed into this lonely town
And with that shadow upon the ground I hear my people screaming out

And I see fire
Inside the mountains
I see fire
Burning the trees
I see fire
Hollowing souls
I see fire
Blood in the breeze

I see fire
Oh you know I saw a city burning (Fire)
And I see fire
Feel the heat upon my skin (Fire)
And I see fire
Oh (Fire)
And I see fire burn auburn on the mountainside",0.20000000298023224,4.300000190734863
49,49,Ed Sheeran,Supermarket Flowers,"I took the supermarket flowers from the window sill
I threw the day old tea from the cup
Packed up the photo album Matthew had made
Memories of a life that's been loved
Took the get well soon cards and stuffed animals
Poured the old ginger beer down the sink
Dad always told me, ""Don't you cry when you're down""
But mum, there's a tear every time that I blink

Oh, I'm in pieces, it's tearing me up, but I know
A heart that's broke is a heart that's been loved

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back he'll say, ""Hallelujah
You're home""

I fluffed the pillows, made the beds, stacked the chairs up
Folded your nightgowns neatly in a case
John said he'd drive then put his hand on my cheek
And wiped a tear from the side of my face

And I hope that I see the world as you did 'cause I know
A life with love is a life that's been lived

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down you'd be there holding me up
Spread your wings as you go
When God takes you back he'll say, ""Hallelujah
You're home""

Hallelujah
You were an angel in the shape of my mum
You got to see the person I have become
Spread your wings and I know
That when God took you back he said, ""Hallelujah
You're home""",0.5,4.900000095367432
50,50,Ed Sheeran,The A Team,"White lips, pale face, breathing in snowflakes
Burnt lungs, sour taste
Light's gone, day's end, struggling to pay rent
Long nights, strange men

And they say she's in the Class A Team
Stuck in her daydream, been this way since 18
But lately her face seems slowly sinking, wasting
Crumbling like pastries, they scream
The worst things in life come free to us

'Cause we're just under the upperhand
And go mad for a couple grams
And she don't want to go outside tonight

And in a pipe she flies to the motherland
Or sells love to another man
It's too cold outside for angels to fly
Angels to fly

Ripped gloves, raincoat, tried to swim, stay afloat
Dry house, wet clothes
Loose change, bank notes, weary-eyed, dry throat
Call girl, no phone

And they say she's in the Class A Team
Stuck in her daydream, been this way since 18
But lately her face seems slowly sinking, wasting
Crumbling like pastries, they scream
The worst things in life come free to us

'Cause we're just under the upperhand
And go mad for a couple grams
But she don't want to go outside tonight

And in a pipe she flies to the motherland
Sells love to another man
It's too cold outside for angels to fly

An angel will die, covered in white
Closed eye and hoping for a better life
This time, we'll fade out tonight
Straight down the line

And they say she's in the Class A Team
Stuck in her daydream, been this way since 18
But lately her face seems slowly sinking, wasting
Crumbling like pastries, they scream
The worst things in life come free to us

And we're all under the upper hand
Go mad for a couple grams
And we don't want to go outside tonight

In a pipe, fly to the motherland
Or sell love to another man
It's too cold outside for angels to fly
Angels to fly

To fly, fly
For angels to fly
To fly, to fly
Angels to die",-0.4000000059604645,7.099999904632568
51,51,Emeli Sande,Real All About It,"You've got the words to change a nation
But you're biting your tongue
You've spent a life time stuck in silence
Afraid you'll say something wrong
If no one ever hears it how we gonna learn your song
So come on come on, come on come on
You've got a
Come on come on, you've got a
You've got a
You've got a
You've got a heart as loud as lions
So why let your voice be tamed?
Baby we're a little different
There's no need to be ashamed
You've got the light to fight the shadows
So stop hiding it away
Come on, come on
I wanna sing, I wanna shout
I wanna scream till the words dry out
So put it in all of the papers,
I'm not afraid
They can read all about it
Read all about it oh
Oh oh oh
Oh oh oh
Oh whoa
You've got a
You've got a
You've got a
You've got a
You've got a
You've got a
Oh, oh oh
Oh, oh oh
Oh, oh oh ooh
At night we're waking up the neighbors
While we sing away the blues
Making sure that we remember yeah
'Cause we all matter too
If the truth has been forbidden
Then we're breaking all the rules
So come on, come on
Come on, come on,
Let's get the TV and the radio
To play our tune again
It's 'bout time we got some airplay of our version of events
There's no need to be afraid
I will sing with you my friend
Come on, come on
I wanna sing, I wanna shout
I wanna scream till the words dry out
So put it in all of the papers,
I'm not afraid
They can read all about it
Read all about it oh
Oh oh
Oh, oh oh
Oh, oh ooh
Oh, oh oh
Oh, oh oh
Oh, oh oh ooh
Yeah we're all wonderful, wonderful people
So when did we all get so fearful?
Now we're finally finding our voices
So take a chance, come help me sing this
Yeah we're all wonderful, wonderful people
So when did we all get so fearful?
Now we're finally finding our voices
So take a chance, come help me sing this
I wanna sing, I wanna shout
I wanna scream till the words dry out
So put it in all of the papers,
I'm not afraid
They can read all about it
Read all about it oh
Oh oh
Oh, oh oh
Oh, oh ooh
Oh, oh oh
Oh, oh oh
Oh, oh oh ooh
I wanna sing, I wanna shout
I wanna scream till the words dry out
So put it in all of the papers,
I'm not afraid
They can read all about it
Read all about it ooh",0.30000001192092896,3.0
52,52,Eminem,Space Bound,"We touch, I feel a rush, we clutch it isn't much
But it's enough to make me wonder what's in store for us
It's lust, it's torturous, you must be a sorceress
'Cause you just did the impossible, gained my trust

Don't play games it'll be dangerous, if you fuck me over
'Cause if I get burnt, I'ma show ya what it's like to hurt
'Cause I've been treated like dirt before ya
And love is evil, spell it backwards I'll show ya

Nobody knows me I'm cold, walk down this road all alone
It's no one's fault but my own, it's the path I've chosen to go
Frozen as snow, I show no emotion whatsoever, so
Don't ask me why I have no love for these mo'fuckin' hoes

Blood sucking succubuses, what the fuck is up with this
I've tried in this department, but I ain't had no luck with this
It sucks, but it's exactly what I thought it would be
Like trying to start over

I got a hole in my heart, like some kind of emotional roller coaster
Something I won't go on, so you toy with my emotions ho it's over
It's like an explosion every time I hold ya, wasn't joking when I told ya
You take my breath away, you're a supernova and I'm a

I'm a space-bound rocket ship and your heart's the moon
And I'm aiming right at you, right at you
250,000 miles on a clear night in June
And I'm aiming right at you, right at you, right at you

I'll do whatever it takes, when I'm with you I get the shakes
My body aches when I ain't, with you I have zero strength
There's no limit on how far I would go, no boundaries, no lengths
Why do we say that until we get that person that we think's

Gonna be that one and then once we get 'em, it's never the same
You want 'em when they don't want you, soon as they do feelings change
It's not a contest and I ain't on no conquest for no mate
I wasn't looking when I stumbled on to you, must have been fate

But so much is at stake, what the fuck does it take
Let's cut to the chase, 'fore the door shuts in your face
Promise me, if I cave in and break and leave myself open
That I won't be making a mistake, 'cause I'm a

I'm a space-bound rocket ship and your heart's the moon
And I'm aiming right at you, right at you
250,000 miles on a clear night in June
And I'm aiming right at you, right at you, right at you

So after a year and six months, it's no longer me that you want
But I love you so much it hurts, never mistreated you once
I poured my heart out to you, let down my guard, swear to God
I'll blow my brains in your lap, lay here and die in your arms

Drop to my knees and I'm pleading, I'm trying to stop you from leaving
You won't even listen so fuck it, I'm trying to stop you from breathing
I put both hands on your throat, I sit on top of you squeezing
Till I snap your neck like a Popsicle stick

Ain't no possible reason I could think of
To let you walk up out this house and let you live
Tears streamed down both of my cheeks, then I let you go and just give
And 'fore I put that gun to my temple, I told you this

And I would've did anything for you
To show you how much I adored you
But it's over now, it's too late to save our love
Just promise me you'll think of me
Every time you look up in the sky and see a star, 'cause I'm a

I'm a space-bound rocket ship and your heart's the moon
And I'm aiming right at you, right at you
250,000 miles on a clear night in June
And I'm so lost without you, without you, without you",-0.10000000149011612,6.5
53,53,Evanescence,My Immortal,"I'm so tired of being here
Suppressed by all my childish fears
And if you have to leave
I wish that you would just leave
'Cause your presence still lingers here
And it won't leave me alone

These wounds won't seem to heal
This pain is just too real
There's just too much that time cannot erase

When you cried I'd wipe away all of your tears
When you'd scream I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me

You used to captivate me
By your resonating light
Now I'm bound by the life you left behind
Your face it haunts my once pleasant dreams
Your voice it chased away all the sanity in me

These wounds won't seem to heal
This pain is just too real
There's just too much that time cannot erase

When you cried I'd wipe away all of your tears
When you'd scream I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me

I've tried so hard to tell myself that you're gone
But though you're still with me
I've been alone all along

When you cried I'd wipe away all of your tears
When you'd scream I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me
Me
Me",0.0,4.599999904632568
54,54,Finding Hope,3:00 AM,"Baby, it's 3: 00 AM
Had you on my mind
And it's not the first time we've gone through this
Wanting you more and more
I can't help but think of what we could be
(And baby, if I could tell you)
Baby, if I could tell you, if I could tell you
How much I care
I'm in despair
Are you still there?
(Just tell me)
Just tell me how we can make this work
How we can make this work
'Cuz baby, if I find a way, I'm sure of it this love won't stray
Just give me a chance to say I love you
And I need you
Now are you here to stay, or fade away like every other day?
You're the reason that I lie awake
Baby, it's 3: 00 AM
Had you on my mind
And it's not the first time we've gone through this
Wanting you more and more
I can't help but think of what we could be
(And baby, if I could tell you)
Baby, if I could tell you, if I could tell you
How much I care
I'm in despair
Are you still there?
(Just tell me)
Just tell me how we can make this work
How we can make this work
",-0.20000000298023224,1.899999976158142
55,55,Finneas,Break My Heart Again,"Hey, you
I'm just now leaving
Can I come around later on this evening?
Or do you need time?
Yes, of course, that's fine
Hey, you
Goodmorning
I'm sure you're busy now, why else would you ignore me?
Or do you need space?
You can't help it if your mind has changed
So go ahead and break my heart again
Leave me wonderin' why the hell I ever let you in
Are you the definition of insanity?
Or am I?
Oh, it must be nice
To love someone who lets you break them twice
You're so blue
Are you still breathing?
Won't you tell me if you found that deeper meaning
Do you think I've gone blind?
I know it's not the truth when you say, ""I'm fine""
So go ahead and break my heart again
Leave me wonderin' why the hell I ever let you in
Are you the definition of insanity?
Or am I?
Oh, it must be nice
To love someone who lets you break them twice
Don't pretend that I'm the instigator
You were the one, but you were born to say goodbye
Kissed me, half a decade later
That same perfume, those same sad eyes
Go ahead and break my heart again
Leave me wonderin' why the hell I ever let you in
Are you the definition of insanity?
Or am I?
Or am I?
It must be nice
To love someone who lets you break them twice",-0.20000000298023224,4.199999809265137
56,56,Flora Cash,You're Somebody Else,"I saw the part of you
That only when you're older you will see too
You will see too
I held the better cards
But every stroke of luck has got a bleed through
It's got a bleed through
You held the balance of the time
That only blindly I could read you
But I could read you
It's like you told me
Go forward slowly
It's not a race to the end

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

You were the better part
Of every bit of beating heart that I had
Whatever I had
I finally sat alone
Pitch black flesh and bone
Couldn't believe that you were gone

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

Where are we?
Where are we?

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

I saw the part of you that only when you're older
You will see too, you will see too",-0.4000000059604645,5.400000095367432
57,57,George Michael,Careless Whisper,"Time can never mend
The careless whispers of a good friend
To the heart and mind
Ignorance is kind
There's no comfort in the truth
Pain is all you find

Should have known better, yeah
Oh, oh

I feel so unsure
As I take your hand and lead you to the dance floor
As the music dies
Something in your eyes
Calls to mind a silver screen and all its sad goodbyes

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool

I should have known better than to cheat a friend
And waste a chance that I'd been given
So I'm never gonna dance again
The way I danced with you, oh

Time can never mend
The careless whispers of a good friend
To the heart and mind
Ignorance is kind
There's no comfort in the truth
Pain is all you find

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool

I should have known better than to cheat a friend
(Should have known better, yeah)
And waste a chance that I'd been given
So I'm never gonna dance again
The way I danced with you, ooh

Never without your love

Tonight the music seems so loud
I wish that we could lose this crowd
Maybe it's better this way
We'd hurt each other with the things we want to say

We could have been so good together
We could have lived this dance forever
But now who's gonna dance with me?
Please stay

And I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool

I should have known better than to cheat a friend
And waste a chance that I'd been given
So I'm never gonna dance again
The way I danced with you, oh

(Now that you're gone) Now that you're gone
(Now that you're gone) Was what I did so wrong, so wrong
That you had to leave me alone?",-0.20000000298023224,6.800000190734863
58,58,Gnash,"I Hate u, I Love u","Feeling used
But I'm
Still missing you
And I can't
See the end of this
Just wanna feel your kiss
Against my lips
And now all this time
Is passing by
But I still can't seem to tell you why
It hurts me every time I see you
Realize how much I need you

I hate you I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you I love you
I hate that I want you
You want her, you need her
And I'll never be her

I miss you when I can't sleep
Or right after coffee
Or right when I can't eat
I miss you in my front seat
Still got sand in my sweaters
From nights we don't remember
Do you miss me like I miss you?
Fucked around and got attached to you
Friends can break your heart too, and
I'm always tired but never of you
If I pulled a you on you, you wouldn't like that shit
I put this reel out, but you wouldn't bite that shit
I type a text but then I nevermind that shit
I got these feelings but you never mind that shit
Oh oh, keep it on the low
You're still in love with me but your friends don't know
If you wanted me you would just say so
And if I were you, I would never let me go
I don't mean no harm
I just miss you on my arm
Wedding bells were just alarms
Caution tape around my heart
You ever wonder what we could have been?
You said you wouldn't and you fucking did
Lie to me, lie with me, get your fucking fix
Now all my drinks and all my feelings are all fucking mixed
Always missing people that I shouldn't be missing
Sometimes you gotta burn some bridges just to create some distance
I know that I control my thoughts and I should stop reminiscing
But I learned from my dad that it's good to have feelings
When love and trust are gone
I guess this is moving on
Everyone I do right does me wrong
So every lonely night, I sing this song

I hate you I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you I love you
I hate that I want you
You want her, you need her
And I'll never be her

All alone I watch you watch her
Like she's the only girl you've ever seen
You don't care you never did
You don't give a damn about me
Yeah all alone I watch you watch her
She's the only thing you've ever seen
How is it you never notice
That you are slowly killing me

I hate you I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you I love you
I hate that I want you
You want her, you need her
And I'll never be her",-0.20000000298023224,2.0
59,59,Halsey,Sorry,"I've missed your calls for months it seems
Don't realize how mean I can be
'Cause I can sometimes treat the people
That I love like jewelry
'Cause I can change my mind each day
I didn't mean to try you on
But I still know your birthday
And your mother's favorite song

So I'm sorry to my unknown lover
Sorry that I can't believe that anybody ever really
Starts to fall in love with me
Sorry to my unknown lover
Sorry I could be so blind
Didn't mean to leave you
And all of the things that we had behind
Ooh
Ooh
Ooh

I run away when things are good
And never really understood
The way you laid your eyes on me
In ways that no one ever could
And so it seems I broke your heart
My ignorance has struck again
I failed to see it from the start
And tore you open 'til the end

And I'm sorry to my unknown lover
Sorry that I can't believe that anybody ever really
Starts to fall in love with me
Sorry to my unknown lover
Sorry I could be so blind
Didn't mean to leave you
And all of the things that we had behind

And someone will love you
Someone will love you
Someone will love you
But someone isn't me
Someone will love you
Someone will love you
Someone will love you
But someone isn't me

Sorry to my unknown lover
Sorry that I can't believe that anybody ever really
Starts to fall in love with me
Sorry to my unknown lover
Sorry I could be so blind
Didn't mean to leave you
And all of the things that we had behind

And someone will love you
Someone will love you
Someone will love you
But someone isn't me
And someone will love you
Someone will love you
Someone will love you
But someone isn't me",-0.20000000298023224,3.299999952316284
60,60,Harry Styles,Sign of the Times,"Just stop your crying
It's a sign of the times
Welcome to the final show
Hope you're wearing your best clothes
You can't bribe the door on your way to the sky
You look pretty good down here
But you ain't really good

If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets

Just stop your crying
It's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying
It will be all right
They told me that the end is near
We gotta get away from here

Just stop crying
Have the time of your life
Breaking through the atmosphere
And things are pretty good from here
Remember everything will be all right
We can meet again somewhere
Somewhere far away from here

If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets

Just stop your crying
It's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying
Baby it will be all right
They told me that the end is near
We gotta get away from here

If we never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets
We never learn, we been here before
Why are we always stuck and running from
The bullets?
The bullets

We don't talk enough
We should open up
Before it's all too much
Will we ever learn?
We've been here before
It's just what we know

Stop your crying baby
It's a sign of the times
We gotta get away
We got to get away
We got to get away
We got to get away
We got to get away
We got to, we got to
We got to, we got to
We got to, we got to",-0.20000000298023224,8.600000381469727
61,61,Linkin Park,Heavy,"I don't like my mind right now
Stacking up problems that are so unnecessary
Wish that I could slow things down
I wanna let go but there's comfort in the panic

And I drive myself crazy
Thinking everything's about me
Yeah I drive myself crazy
'Cause I can't escape the gravity

I'm holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

You say that I'm paranoid
But I'm pretty sure the world is out to get me
It's not like I made the choice
To let my mind stay so fucking messy
I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same

I'm holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same
And I drive myself crazy
Thinking everything's about me

Holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

Why is everything so heavy?
Why is everything so heavy?",-0.4000000059604645,6.300000190734863
62,62,Imagine Dragons,Not Today From Me Before You,"There she goes in front of me
Take my life and set me free again
We'll make a memory out of it
Holy road is at my back
Don't look on, take me back again
We'll make a memory out of it
We finally fall apart and we break each other's hearts
If we wanna live young, love, we better start today
It's gotta get easier, oh easier somehow
'Cause I'm falling, I'm falling
Oh easier and easier somehow
Oh I'm calling, I'm calling
And it isn't over, unless it is over
I don't wanna wait for that
It's gotta get easier and easier somehow
But not today
Not today
There she goes in front of me
Take my life, set me free again
We'll make a memory out of it
Holy road was at my back
Don't look on, take me back again
We'll make a memory out of it
We finally fall apart and we break each other's hearts
If we wanna live young, love, we better start today
It's gotta get easier, oh easier somehow
'Cause I'm falling, I'm falling
Oh easier and easier somehow
Oh I'm calling, I'm calling
And it isn't over, unless it is over
I don't wanna wait for that
It's gotta get easier and easier
So come with me
You'll come with me, eh eh eh
So come with me
You'll come with me, eh eh eh
Not today
Not today
Not today
Not today
It's gotta get easier and easier somehow
'Cause I'm falling, I'm falling
And easier and easier somehow
Oh I'm calling and calling
And it isn't over unless it is over
I don't wanna wait for that
It's gotta get easier and easier somehow
It's gotta get easier and easier somehow
Not today
Not today
Not today
Not today
Not today",-0.4000000059604645,0.800000011920929
63,63,James Arthur,Can I Be Him,"You walked into the room
And now my heart has been stolen
You took me back in time to when I was unbroken
Now you're all I want
And I knew it from the very first moment
Cause a light came on when I heard that song
And I want you to sing it again

I swear that every word you sing
You wrote them for me
Like it was a private show
But I know you never saw me
When the lights come on and I'm on my own
Will you be there to sing it again
Could I be the one you talk about in all your stories
Can I be him

I heard there was somone but I know he don't deserve you
If you were mine I'd never let anyone hurt you
I wanna dry those tears, kiss those lips
It's all that I've been thinking about
Cause a light came on when I heard that song
And I want you to sing it again

I swear that every word you sing
You wrote them for me
Like it was a private show
But I know you never saw me
When the lights come on and I'm on my own
Will you be there to sing it again
Could I be the one you talk about in all your stories

Can I be the one
Can I be the one
Can I be the one
Oh, can I, can I be him

Want you sing it again
Oh, when you sing it again
Can I be him
Want you sing it again
Oh, when you sing it again
Can I be him

I swear that every word you sing
You wrote them for me
Like it was a private show
But I know you never saw me
When the lights come on and I'm on my own
Will you be there, will you be there
Can I be the one you talk about in all your stories
Can I be him
Can I be him
Can I be him
Can I be him",0.0,3.200000047683716
64,64,James Arthur,Impossible,"[Verse 1]
I remember years ago
Someone told me I should take
Caution when it comes to love 
I did
And You were strong and I was not
My illusion, my mistake
I was careless I forgot
I did

[Pre-Chorus 1]
And now when all is done
There is nothing to say
You have gone and so effortlessly
You have won
You can go ahead tell them

[Chorus]
Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, impossible

[Verse 2]
Falling out of love is hard
Falling for betrayal is worst
Broken trust and broken hearts
I know, I know
Thinking all you need is there
Building faith on love and words
Empty promises will wear
I know, I know

[Pre-Chorus 2]
And now when all is gone
There is nothing to say
And if you're done with embarrassing me
On your own you can go ahead tell them

[Chorus]
Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible, impossible
Impossible, impossible

[Bridge]
I remember years ago
Someone told me I should take
Caution when it comes to love
I did

[Outro]
Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy 
And my heart is broken
I hoped would be
Impossible, impossible
Impossible, impossible
Impossible, impossible
Impossible, impossible",-0.20000000298023224,4.800000190734863
65,65,James Bay,Let It Go,"From walking home and talking loads
To seeing shows in evening clothes with you
From nervous touch to getting drunk
To staying up and waking up with you

But now we're sleeping at the edge
Holding something we don't need
All this delusion in our heads
Is gonna bring us to our knees

So come on let it go
Just let it be
Why don't you be you
And I'll be me

Everything's that's broke
Leave it to the breeze
Why don't you be you
And I'll be me

And I'll be me

From throwing clothes across the floor
To teeth and claws and slamming doors at you
If this is all we're living for
Why are we doing it, doing it, doing it anymore

I used to recognize myself
It's funny how reflections change
When we're becoming something else
I think it's time to walk away

So come on let it go
Just let it be
Why don't you be you
And I'll be me

Everything's that's broke
Leave it to the breeze
Why don't you be you
And I'll be me

And I'll be me

Trying to fit your hand inside of mine
When we know it just don't belong
There's no force on earth
Could make me feel right, no

Whoa

Trying to push this problem up the hill
When it's just too heavy to hold
Think now's the time to let it slide

So come on let it go
Just let it be
Why don't you be you
And I'll be me

Everything's that's broke
Leave it to the breeze
Let the ashes fall
Forget about me

Come on let it go
Just let it be
Why don't you be you
And I'll be me

And I'll be me",-0.10000000149011612,6.699999809265137
66,66,James Blunt,You're Beautiful,"My life is brilliant

My life is brilliant
My love is pure
I saw an angel
Of that I'm sure

She smiled at me on the subway
She was with another man
But I won't lose no sleep on that
'Cause I've got a plan

You're beautiful, you're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

Yes, she caught my eye as I walked on by
She could see from my face that I was fucking high
And I don't think that I'll see her again
But we shared a moment that will last till the end

You're beautiful, you're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

You're beautiful, you're beautiful
You're beautiful, it's true
There must be an angel
With a smile on her face
When she thought up that I should be with you

But it's time to face the truth
I will never be with you",0.4000000059604645,4.400000095367432
67,67,Jess Glynne,Take Me Home,"Wrapped up, so consumed by
All this hurt
If you ask me, don't
Know where to start

Anger, love, confusion
Rolls the gold nowhere
I know that somewhere better
Cause you always take me there

Came to you with a broken faith
Gave me more than a hand to hold
Caught before I hit the ground
Tell me I'm safe, you've got me now

Would you take the wheel
If I lose control?
If I'm lying here
Will you take me home?

Could you take care
Of a broken soul?
Will you hold me now?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?

Hold the gun to my head
Count 1, 2, 3
If it helps me walk away then it's
What I need

Every minute gets easier
The more you talk to me
You rationalize my darkest thoughts
Yeah you, set them free

Came to you with a broken faith
Gave me more than a hand to hold
Caught before I hit the ground
Tell me I'm safe, you've got me now

Would you take the wheel
If I lose control?
If I'm lying here
Will you take me home?

Could you take care
Of a broken soul?
Oh, will you hold me now?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?

You say space will make it better
And time will make it heal
I won't be lost forever
And soon I wouldn't feel
Like I'm haunted, oh falling

You say space will make it better
And time will make it heal
I won't be lost forever
And soon I wouldn't feel
Like I'm haunted, oh falling

You say space will make it better
And time will make it heal
I won't be lost forever
And soon I wouldn't feel
Like I'm haunted, oh falling

Would you take the wheel
If I lose control?
If I'm lying here
Will you take me home?

Could you take care
Of a broken soul?
Oh, will you hold me now?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?
Oh, will you take me home?
Home
Oh, will you take me home?
Oh, will you take me home?",-0.10000000149011612,8.399999618530273
68,68,Jessie Ware,Say You Love Me,"Say you love me to my face
I need it more than your embrace
Just say you want me, that's all it takes
Heart's getting torn from your mistakes

'Cause I don't wanna fall in love
If you don't wanna try,
But all that I've been thinking of
Is maybe that you might
Baby it looks as though we're running out of words to say
And love's floating away

Just say you love me, just for today
And don't give me time 'cause that's not the same
Want to feel burning flames when you say my name
Want to feel passion flow into my bones
Like blood through my veins

'Cause I don't wanna fall in love
If you don't wanna try,
But all that I've been thinking of
Is maybe that you might
And, baby, it looks as though we're running out of words to say
And love's floating away

Won't you stay?
Won't you stay?
Slowly slowly you run for me,
But do you know me at all?
Someone told me love controls everything
But only if you know

'Cause I don't wanna fall in love
(No no no no no)
If you don't wanna try
(Just try sometimes)
But all that I've been thinking of
(I just think)
Is maybe that you might
(You might)
'Cause I don't wanna fall in love
If you don't wanna try
But all that I've been thinking of
Is maybe that you might
Baby it looks as though we're running out of words to say
And love's floating away
Won't you stay?
Won't you stay?",0.10000000149011612,3.9000000953674316
69,69,joel adams,please don't go,"Nobody ever knows
Nobody ever sees
I left my soul
Back there now I'm too weak
Most nights I pray for you to come home
Praying to the Lord
Praying for my soul

Now please don't go
Most nights I hardly sleep when I'm alone
Now please don't go, oh no
I think of you whenever I'm alone
So please don't go

'Cause I don't ever want to know
Don't ever want to see things change
'Cause when I'm living on my own
I'll wanna take it back and start again
Most nights I pray for you to come home
Praying to the Lord
Praying for my soul

Now please don't go
Most nights I hardly sleep when I'm alone
Now please don't go, oh no
I think of you whenever I'm alone
So please don't go

(Oh oh oh)
I send so many messages you don't reply
(Oh oh oh)
I gotta figure out what am I missing babe
Singing now (Oh oh oh)
And I need you now, I need your love
(Oh oh oh)

Now please don't go
Most nights I hardly sleep when I'm alone
Now please don't go, oh no
I think of you whenever I'm alone
So please don't
Please don't go

Please don't go
Please don't go
Please don't go
I think of you whenever I'm alone
So please don't go",-0.5,4.0
70,70,johny cash,hurt,"I hurt myself today to see if I still feel
I focus on the pain, the only thing that's real
The needle tears a hole, the old familiar sting
Try to kill it all away but I remember everything

What have I become, my sweetest friend
Everyone I know goes away in the end
And you could have it all, my empire of dirt
I will let you down, I will make you hurt

I wear this crown of thorns upon my liars chair
Full of broken thoughts I cannot repair
Beneath the stains of time The feelings disappear
You are someone else, I am still right here

What have I become, my sweetest friend
Everyone I know goes away in the end
And you could have it all, my empire of dirt
I will let you down,  I will make you hurt

If I could start again, a million miles away
I would keep myself, I would find a way",0.10000000149011612,2.9000000953674316
